,bridge_id,number_of_vehicles,delay_time,Part_of_road
0,37,7155.0,483473.201570502,"N1, LRP009a - LRP084a"
1,101,7124.0,480250.2942278088,"N1, LRP009a - LRP084a"
2,113,7078.0,479178.60795747954,"N1, LRP009a - LRP084a"
3,63,7089.0,478137.29047916137,"N1, LRP009a - LRP084a"
4,81,7051.0,476590.2249509377,"N1, LRP009a - LRP084a"
5,107,7038.0,474583.50171395857,"N1, LRP009a - LRP084a"
6,97,7020.0,473154.2689382954,"N1, LRP009a - LRP084a"
7,115,6966.0,469182.6645863948,"N1, LRP009a - LRP084a"
8,117,6938.0,468245.6501603441,"N1, LRP009a - LRP084a"
9,140,6873.0,462919.6555732285,"N1, LRP084a - LRP184a"
10,142,6846.0,462321.6646126859,"N1, LRP084a - LRP184a"
11,156,6793.0,458771.6332281755,"N1, LRP084a - LRP184a"
12,150,6797.0,458657.67070024344,"N1, LRP084a - LRP184a"
13,240,6705.0,452775.18453878723,"N1, LRP084a - LRP184a"
14,222,6646.0,447685.4136174527,"N1, LRP084a - LRP184a"
15,1594,5603.0,378133.4872325774,"N105, LRP012a - LRP048"
16,2213,5504.0,373324.3833305388,"N2, LRP117b - LRP146b"
17,1592,5531.0,373164.8004417341,"N105, LRP012a - LRP048"
18,1574,5526.0,372545.1555366213,"N105, LRPS - LRP012a"
19,1664,5498.0,370797.22767190647,"N105, LRP012a - LRP048"
20,2191,5445.0,369277.1656381617,"N2, LRP117b - LRP146b"
21,1650,5480.0,368536.9826661344,"N105, LRP012a - LRP048"
22,2207,5477.0,368224.6590854129,"N2, LRP117b - LRP146b"
23,2281,5414.0,365265.8598393264,"N2, LRP117b - LRP146b"
24,2289,5352.0,361422.6100658395,"N2, LRP117b - LRP146b"
25,59,7179.0,271342.1396044575,"N1, LRP009a - LRP084a"
26,31,7172.0,269723.0060765806,"N1, LRP009a - LRP084a"
27,67,7163.0,268984.4739647504,"N1, LRP009a - LRP084a"
28,21,7188.0,268865.9462167043,"N1, LRP009a - LRP084a"
29,61,7132.0,267502.2800477358,"N1, LRP009a - LRP084a"
30,85,6986.0,263945.44969224744,"N1, LRP009a - LRP084a"
31,138,6833.0,258846.38979601616,"N1, LRP084a - LRP184a"
32,132,6850.0,256243.7447497282,"N1, LRP084a - LRP184a"
33,136,6864.0,255899.0646548728,"N1, LRP084a - LRP184a"
34,146,6763.0,254224.02038051712,"N1, LRP084a - LRP184a"
35,232,6675.0,251015.22986135588,"N1, LRP084a - LRP184a"
36,2133,3319.0,223783.58053444207,"N2, LRP086a - LRP117b"
37,2115,3249.0,218884.0424689924,"N2, LRP086a - LRP117b"
38,2117,3209.0,217538.65735092276,"N2, LRP086a - LRP117b"
39,2167,3211.0,216872.09940705518,"N2, LRP086a - LRP117b"
40,2147,3189.0,215993.4517688763,"N2, LRP086a - LRP117b"
41,503,3190.0,215009.46716439023,"N1, LRP260c - LRP293a"
42,1927,3167.0,213918.2707930079,"N2, LRP012a - LRP086a"
43,1961,3156.0,212777.8708526656,"N2, LRP012a - LRP086a"
44,525,3150.0,212311.9768454062,"N1, LRP260c - LRP293a"
45,2159,3150.0,212280.57322603758,"N2, LRP086a - LRP117b"
46,1993,3126.0,210641.04569985816,"N2, LRP012a - LRP086a"
47,1981,3131.0,210604.65548328048,"N2, LRP012a - LRP086a"
48,2073,3114.0,210083.295908614,"N2, LRP012a - LRP086a"
49,2079,3103.0,209453.8505107964,"N2, LRP012a - LRP086a"
50,537,3105.0,209439.40832848308,"N1, LRP260c - LRP293a"
51,2097,3094.0,209139.79004903085,"N2, LRP012a - LRP086a"
52,2077,3096.0,209036.96226786234,"N2, LRP012a - LRP086a"
53,1616,5550.0,208763.3579328527,"N105, LRP012a - LRP048"
54,2009,3084.0,208612.92058546352,"N2, LRP012a - LRP086a"
55,1610,5553.0,206386.77600131772,"N105, LRP012a - LRP048"
56,2215,5465.0,203805.5325958881,"N2, LRP117b - LRP146b"
57,2093,2991.0,200726.75621629445,"N2, LRP012a - LRP086a"
58,2696,2405.0,162207.02250793146,"N2, LRP231b - LRP239a"
59,3259,2345.0,158910.13444860876,"N208, LRP054a - LRPE"
60,2708,2346.0,157666.49187780623,"N2, LRP231b - LRP239a"
61,2758,2226.0,149487.99895666837,"N2, LRP239a - LRPE"
62,2730,2176.0,148441.63190233934,"N2, LRP239a - LRPE"
63,1318,2187.0,148251.82700531837,"N102, LRPS - LRPE"
64,1346,2194.0,148217.166966376,"N102, LRPS - LRPE"
65,2772,2199.0,148135.8316328443,"N2, LRP239a - LRPE"
66,1382,2180.0,146543.28722036042,"N102, LRPS - LRPE"
67,1416,2154.0,145322.64208707528,"N102, LRPS - LRPE"
68,2776,2161.0,145319.60663494695,"N2, LRP239a - LRPE"
69,366,2084.0,140520.8727889772,"N1, LRP184a - LRP260c"
70,362,2056.0,139524.65222678098,"N1, LRP184a - LRP260c"
71,320,2056.0,138582.5304862551,"N1, LRP184a - LRP260c"
72,402,2050.0,138325.05322478426,"N1, LRP184a - LRP260c"
73,414,2040.0,138294.6131706886,"N1, LRP184a - LRP260c"
74,278,2048.0,137100.00315002663,"N1, LRP084a - LRP184a"
75,254,2026.0,136442.46584717947,"N1, LRP084a - LRP184a"
76,314,2029.0,136410.35481107942,"N1, LRP184a - LRP260c"
77,422,1989.0,133783.2707698791,"N1, LRP184a - LRP260c"
78,452,1969.0,133232.9588373415,"N1, LRP184a - LRP260c"
79,454,1960.0,132544.75337313805,"N1, LRP184a - LRP260c"
80,482,1958.0,131584.80896150778,"N1, LRP184a - LRP260c"
81,490,1945.0,131496.25034758617,"N1, LRP184a - LRP260c"
82,406,1948.0,131305.32679769056,"N1, LRP184a - LRP260c"
83,476,1917.0,128714.86309500839,"N1, LRP184a - LRP260c"
84,424,1881.0,126304.16883776415,"N1, LRP184a - LRP260c"
85,539,3258.0,124275.39964322382,"N1, LRP260c - LRP293a"
86,2135,3233.0,121453.34907428536,"N2, LRP086a - LRP117b"
87,2137,3226.0,121008.69914089316,"N2, LRP086a - LRP117b"
88,2181,3224.0,120815.33019699984,"N2, LRP086a - LRP117b"
89,2177,3202.0,120630.94895092712,"N2, LRP086a - LRP117b"
90,2125,3207.0,120576.33714530384,"N2, LRP086a - LRP117b"
91,1955,3178.0,118883.2899559784,"N2, LRP012a - LRP086a"
92,2085,3149.0,118776.89593959512,"N2, LRP012a - LRP086a"
93,545,3151.0,118738.23223412767,"N1, LRP260c - LRP293a"
94,1913,3170.0,118668.87122974,"N2, LRP012a - LRP086a"
95,2053,3166.0,118081.8207406218,"N2, LRP012a - LRP086a"
96,1945,3140.0,117591.20195180981,"N2, LRP012a - LRP086a"
97,543,3109.0,116121.0845574182,"N1, LRP260c - LRP293a"
98,1965,3114.0,115809.24771983568,"N2, LRP012a - LRP086a"
99,2037,3057.0,114827.78650756972,"N2, LRP012a - LRP086a"
100,1985,3086.0,114637.9260175454,"N2, LRP012a - LRP086a"
101,2091,3045.0,113735.19948904843,"N2, LRP012a - LRP086a"
102,2043,3072.0,113504.762312444,"N2, LRP012a - LRP086a"
103,2468,1657.0,112621.10278391094,"N2, LRP146b - LRP191b"
104,3266,1645.0,111424.71420730311,"N210, LRPS - LRPE"
105,3278,1633.0,109923.83177973884,"N210, LRPS - LRPE"
106,3274,1616.0,109339.28289053128,"N210, LRPS - LRPE"
107,13,7198.0,107944.15550229445,"N1, LRP009a - LRP084a"
108,35,7178.0,107916.5424517188,"N1, LRP009a - LRP084a"
109,19,7197.0,107869.38069856852,"N1, LRP009a - LRP084a"
110,15,7198.0,107734.78714741186,"N1, LRP009a - LRP084a"
111,11,7198.0,107655.422087153,"N1, LRP009a - LRP084a"
112,53,7180.0,107554.80875634158,"N1, LRP009a - LRP084a"
113,2520,1583.0,107529.1066765338,"N2, LRP146b - LRP191b"
114,2422,1600.0,107408.86374024065,"N2, LRP146b - LRP191b"
115,73,7116.0,106860.270639733,"N1, LRP009a - LRP084a"
116,109,7111.0,106511.2575151924,"N1, LRP009a - LRP084a"
117,51,7101.0,106403.18392973655,"N1, LRP009a - LRP084a"
118,2492,1571.0,105798.52628097955,"N2, LRP146b - LRP191b"
119,2388,1565.0,105653.07212312594,"N2, LRP146b - LRP191b"
120,2510,1556.0,105322.39349883984,"N2, LRP146b - LRP191b"
121,2412,1553.0,105218.61859429724,"N2, LRP146b - LRP191b"
122,69,7019.0,105069.2982833042,"N1, LRP009a - LRP084a"
123,2434,1555.0,104923.37109765054,"N2, LRP146b - LRP191b"
124,2504,1552.0,104843.4077351173,"N2, LRP146b - LRP191b"
125,2380,1536.0,103717.9757304237,"N2, LRP146b - LRP191b"
126,121,6901.0,103416.43346869816,"N1, LRP009a - LRP084a"
127,174,6803.0,102253.48139824905,"N1, LRP084a - LRP184a"
128,2568,1510.0,102228.94444200612,"N2, LRP146b - LRP191b"
129,216,6756.0,101089.2190778382,"N1, LRP084a - LRP184a"
130,236,6740.0,101076.659770961,"N1, LRP084a - LRP184a"
131,198,6717.0,100777.7527751383,"N1, LRP084a - LRP184a"
132,190,6705.0,100309.605580926,"N1, LRP084a - LRP184a"
133,220,6663.0,100295.66238635026,"N1, LRP084a - LRP184a"
134,2480,1461.0,99473.76442799652,"N2, LRP146b - LRP191b"
135,2582,1472.0,98278.96379833964,"N2, LRP146b - LRP191b"
136,2591,1375.0,93158.66046219449,"N2, LRP191b - LRP228c"
137,2690,1378.0,92887.90794131532,"N2, LRP228c - LRP231b"
138,2671,1335.0,90170.48096523978,"N2, LRP191b - LRP228c"
139,2609,1327.0,89875.08253192547,"N2, LRP191b - LRP228c"
140,2641,1332.0,89629.01325386894,"N2, LRP191b - LRP228c"
141,2679,1326.0,89032.49139657256,"N2, LRP191b - LRP228c"
142,1561,1314.0,88405.75121886215,"N104, LRP001a - LRPE"
143,2706,2361.0,88244.53041222872,"N2, LRP231b - LRP239a"
144,1509,1286.0,86892.48201631539,"N104, LRP001a - LRPE"
145,1551,1241.0,84907.3893883502,"N104, LRP001a - LRPE"
146,1547,1252.0,84171.47936057302,"N104, LRP001a - LRPE"
147,1356,2229.0,84153.69650640084,"N102, LRPS - LRPE"
148,2219,5504.0,82636.89300977107,"N2, LRP117b - LRP146b"
149,1390,2167.0,82572.6073171588,"N102, LRPS - LRPE"
150,2265,5485.0,82426.64971834325,"N2, LRP117b - LRP146b"
151,2189,5484.0,82346.87973726769,"N2, LRP117b - LRP146b"
152,2261,5464.0,82138.4827200491,"N2, LRP117b - LRP146b"
153,2231,5467.0,82056.43354824818,"N2, LRP117b - LRP146b"
154,2225,5469.0,81958.58482601328,"N2, LRP117b - LRP146b"
155,2243,5448.0,81958.22941077939,"N2, LRP117b - LRP146b"
156,2790,2195.0,81678.17684321386,"N2, LRP239a - LRPE"
157,2235,5435.0,81643.40168496247,"N2, LRP117b - LRP146b"
158,2237,5444.0,81613.83484302585,"N2, LRP117b - LRP146b"
159,2792,2171.0,81565.08637346723,"N2, LRP239a - LRPE"
160,2193,5459.0,81557.93909770486,"N2, LRP117b - LRP146b"
161,1489,1219.0,81553.97364932016,"N104, LRP001a - LRPE"
162,2233,5439.0,81550.0066073393,"N2, LRP117b - LRP146b"
163,2271,5439.0,81539.73399777687,"N2, LRP117b - LRP146b"
164,2251,5440.0,81530.40591853141,"N2, LRP117b - LRP146b"
165,2277,5419.0,81507.52544337118,"N2, LRP117b - LRP146b"
166,2245,5430.0,81487.84254519422,"N2, LRP117b - LRP146b"
167,2257,5440.0,81487.72742561855,"N2, LRP117b - LRP146b"
168,2253,5438.0,81471.96983000095,"N2, LRP117b - LRP146b"
169,2263,5414.0,81402.2669999129,"N2, LRP117b - LRP146b"
170,2279,5433.0,81401.83740400747,"N2, LRP117b - LRP146b"
171,2255,5436.0,81394.91804116737,"N2, LRP117b - LRP146b"
172,2267,5418.0,81387.45515917594,"N2, LRP117b - LRP146b"
173,2247,5410.0,81213.3285562061,"N2, LRP117b - LRP146b"
174,2259,5404.0,81041.22146612927,"N2, LRP117b - LRP146b"
175,2297,5405.0,81027.31567203281,"N2, LRP117b - LRP146b"
176,2269,5370.0,80769.58776987874,"N2, LRP117b - LRP146b"
177,2301,5381.0,80684.53585570864,"N2, LRP117b - LRP146b"
178,2321,5384.0,80572.12954557154,"N2, LRP117b - LRP146b"
179,2307,5366.0,80560.49035121515,"N2, LRP117b - LRP146b"
180,2780,2132.0,80474.02906142632,"N2, LRP239a - LRPE"
181,2309,5361.0,80424.53550030237,"N2, LRP117b - LRP146b"
182,2784,2122.0,80198.27640282009,"N2, LRP239a - LRPE"
183,2299,5338.0,80125.35690689227,"N2, LRP117b - LRP146b"
184,2740,2151.0,80106.26349523904,"N2, LRP239a - LRPE"
185,2808,2126.0,80090.60617722827,"N2, LRP239a - LRPE"
186,2285,5367.0,80086.0924501374,"N2, LRP117b - LRP146b"
187,2291,5300.0,79724.06530084484,"N2, LRP117b - LRP146b"
188,384,2047.0,77679.59061327751,"N1, LRP184a - LRP260c"
189,380,2061.0,77233.08444037325,"N1, LRP184a - LRP260c"
190,462,1989.0,75828.21429966774,"N1, LRP184a - LRP260c"
191,290,1997.0,75406.37604831744,"N1, LRP084a - LRP184a"
192,1,5043.0,75279.1315198935,"N1, LRPS - LRP009a"
193,404,2005.0,75230.90053715912,"N1, LRP184a - LRP260c"
194,3249,1061.0,71733.54648862999,"N208, LRPS - LRP054a"
195,3141,1046.0,70340.88524274317,"N208, LRPS - LRP054a"
196,3115,1040.0,70047.01640827022,"N208, LRPS - LRP054a"
197,3103,1023.0,69083.6870980575,"N208, LRPS - LRP054a"
198,3101,1010.0,69042.27697299841,"N208, LRPS - LRP054a"
199,3089,1019.0,68964.17266177798,"N208, LRPS - LRP054a"
200,3147,1015.0,68890.47329378876,"N208, LRPS - LRP054a"
201,488,1832.0,68751.68241103021,"N1, LRP184a - LRP260c"
