,bridge_id,number_of_vehicles,delay_time,Part_of_road
0,17,7191.0,485167.7763417627,"N1, LRP009a - LRP084a"
1,37,7169.0,484459.86888035556,"N1, LRP009a - LRP084a"
2,55,7142.0,481880.2031279679,"N1, LRP009a - LRP084a"
3,63,7120.0,480665.6712671425,"N1, LRP009a - LRP084a"
4,97,7105.0,480496.58697860374,"N1, LRP009a - LRP084a"
5,39,7120.0,480064.092829083,"N1, LRP009a - LRP084a"
6,81,7089.0,479066.385419472,"N1, LRP009a - LRP084a"
7,101,7096.0,478976.99572107824,"N1, LRP009a - LRP084a"
8,99,7066.0,477083.1094898929,"N1, LRP009a - LRP084a"
9,89,7074.0,476047.6238770037,"N1, LRP009a - LRP084a"
10,117,7034.0,475565.19973592623,"N1, LRP009a - LRP084a"
11,115,7040.0,474580.71388354234,"N1, LRP009a - LRP084a"
12,107,7015.0,472829.14801636455,"N1, LRP009a - LRP084a"
13,113,6976.0,471527.19910391496,"N1, LRP009a - LRP084a"
14,140,6842.0,461705.1058737923,"N1, LRP084a - LRP184a"
15,142,6838.0,461220.48472156626,"N1, LRP084a - LRP184a"
16,156,6848.0,460912.13237269735,"N1, LRP084a - LRP184a"
17,222,6761.0,457343.26427515276,"N1, LRP084a - LRP184a"
18,194,6766.0,457195.6256471272,"N1, LRP084a - LRP184a"
19,150,6760.0,457190.96476623486,"N1, LRP084a - LRP184a"
20,204,6770.0,456943.7742910005,"N1, LRP084a - LRP184a"
21,240,6746.0,455793.97706071683,"N1, LRP084a - LRP184a"
22,1592,5566.0,377268.4744417896,"N105, LRP012a - LRP048"
23,1594,5588.0,376623.0348632368,"N105, LRP012a - LRP048"
24,1574,5557.0,374970.31190731836,"N105, LRPS - LRP012a"
25,1650,5547.0,374290.3013910706,"N105, LRP012a - LRP048"
26,1664,5513.0,372199.4791088025,"N105, LRP012a - LRP048"
27,2213,5440.0,365467.1342052534,"N2, LRP117b - LRP146b"
28,2289,5418.0,364831.0137005106,"N2, LRP117b - LRP146b"
29,2191,5406.0,364746.55320180196,"N2, LRP117b - LRP146b"
30,2207,5382.0,363542.02052190993,"N2, LRP117b - LRP146b"
31,2281,5349.0,362443.3317223957,"N2, LRP117b - LRP146b"
32,21,7192.0,270768.7167303497,"N1, LRP009a - LRP084a"
33,31,7176.0,270056.7929512524,"N1, LRP009a - LRP084a"
34,61,7176.0,267960.05313688854,"N1, LRP009a - LRP084a"
35,85,7152.0,266837.3018407568,"N1, LRP009a - LRP084a"
36,67,7125.0,266736.3440823659,"N1, LRP009a - LRP084a"
37,59,7105.0,265517.02391498967,"N1, LRP009a - LRP084a"
38,77,7040.0,263985.1481680852,"N1, LRP009a - LRP084a"
39,136,6853.0,256192.5551180759,"N1, LRP084a - LRP184a"
40,132,6848.0,256060.20030669344,"N1, LRP084a - LRP184a"
41,146,6820.0,255417.83540821882,"N1, LRP084a - LRP184a"
42,138,6805.0,254474.68156607985,"N1, LRP084a - LRP184a"
43,158,6778.0,253896.1298587364,"N1, LRP084a - LRP184a"
44,232,6760.0,253375.69079571147,"N1, LRP084a - LRP184a"
45,1927,3259.0,219953.6068984394,"N2, LRP012a - LRP086a"
46,2159,3218.0,217773.13025348738,"N2, LRP086a - LRP117b"
47,2115,3210.0,216822.25306221904,"N2, LRP086a - LRP117b"
48,523,3212.0,216776.54193844218,"N1, LRP260c - LRP293a"
49,1915,3198.0,215981.35889648684,"N2, LRP012a - LRP086a"
50,2153,3194.0,215890.36886076775,"N2, LRP086a - LRP117b"
51,2117,3196.0,215729.5593704787,"N2, LRP086a - LRP117b"
52,2133,3203.0,215708.32894329765,"N2, LRP086a - LRP117b"
53,2049,3196.0,215636.18459861085,"N2, LRP012a - LRP086a"
54,525,3194.0,215561.75738696594,"N1, LRP260c - LRP293a"
55,2155,3200.0,215347.4657741192,"N2, LRP086a - LRP117b"
56,2147,3188.0,215082.3314517592,"N2, LRP086a - LRP117b"
57,1961,3188.0,214885.74885598512,"N2, LRP012a - LRP086a"
58,1981,3181.0,214800.98479403876,"N2, LRP012a - LRP086a"
