,id,caused_delay_time,replication,scenario,number_of_vehicles
0,2792,923.1324243944836,2,3,33.0
0,824,926.5618254531786,2,3,33.0
0,852,922.112503325253,2,3,32.0
0,880,869.0021090248281,2,3,30.0
0,2271,466.41043430803177,1,3,31.0
0,794,452.0063602904155,1,3,30.0
0,876,448.9875947309116,1,3,30.0
0,1096,424.4674861100633,1,3,28.0
0,1673,12850.507287176097,2,4,581.0
0,3268,12839.340905156523,2,4,581.0
0,2201,12839.06933752891,2,4,581.0
0,2688,12838.052089729745,2,4,581.0
0,2829,12838.575035602189,2,4,581.0
0,3259,12894.287111225112,2,4,581.0
0,2334,12863.41390113622,2,4,581.0
0,2205,12851.609289557748,2,4,581.0
0,2918,12917.652316511376,2,4,581.0
0,2125,12896.272353552682,2,4,581.0
0,1915,12895.795691788626,2,4,581.0
0,2595,12839.248931023007,2,4,581.0
0,503,12891.617676722111,2,4,581.0
0,2841,12838.003608660105,2,4,581.0
0,622,12839.040125172616,2,4,581.0
0,59,12895.570642990642,2,4,581.0
0,2851,12838.512423984534,2,4,581.0
0,2227,12879.293747913956,2,4,581.0
0,258,12850.438375272146,2,4,581.0
0,1338,12839.00698463241,2,4,581.0
0,2342,12852.340214137424,2,4,581.0
0,666,12838.950604480806,2,4,581.0
0,1729,12903.761815168673,2,4,581.0
0,1344,12839.453091835763,2,4,581.0
0,2657,12839.465613791106,2,4,581.0
0,3191,12888.174802996968,2,4,581.0
0,2677,12839.206422896874,2,4,581.0
0,198,12850.44321634334,2,4,581.0
0,2348,12848.439404635517,2,4,581.0
0,300,12814.484632300106,2,4,577.0
0,2356,12516.47873155205,2,4,569.0
0,720,12421.556166347704,2,4,568.0
0,204,12488.210889501544,2,4,568.0
0,340,12421.835529705053,2,4,568.0
0,2127,12463.163286913186,2,4,568.0
0,2249,12420.78315837761,2,4,568.0
0,2257,12431.421538972894,2,4,567.0
0,348,12416.52151345084,2,4,566.0
0,519,12416.514870833116,2,4,566.0
0,1923,12427.671481374111,2,4,566.0
0,746,12418.454338863434,2,4,565.0
0,531,12375.896046072277,2,4,564.0
0,2374,12392.938472866865,2,4,564.0
0,1430,12358.670162690883,2,4,563.0
0,1927,12402.634287191657,2,4,559.0
0,541,12209.459014216907,2,4,556.0
0,2376,12224.134455443596,2,4,555.0
0,93,12143.344933542456,2,4,551.0
0,1731,12142.959132484842,2,4,551.0
0,97,11921.88721660595,2,4,538.0
0,758,11796.19998966297,2,4,533.0
0,2462,11797.277929448745,2,4,533.0
0,2990,11762.816158044865,2,4,531.0
0,482,11769.765378571172,2,4,531.0
0,2159,11706.865273695086,2,4,528.0
0,1831,11557.380544777527,2,4,525.0
0,2516,11498.1114185998,2,4,518.0
0,784,11478.96576803385,2,4,515.0
0,1871,11211.70056820811,2,4,511.0
0,2546,11216.153032847269,2,4,508.0
0,3004,10628.758515246478,2,4,486.0
0,1997,10252.336486045733,2,4,466.0
0,3044,10175.185536373689,2,4,456.0
0,2167,10035.189013181922,2,4,449.0
0,121,9900.986365321913,2,4,445.0
0,2021,9888.055693769711,2,4,444.0
0,3062,9802.367585763615,2,4,441.0
0,3064,9577.359188009905,2,4,432.0
0,3068,9387.37429544266,2,4,426.0
0,2031,9323.05856551033,2,4,422.0
0,790,9291.932829521307,2,4,418.0
0,2055,9054.53329772436,2,4,412.0
0,946,6969.558443987323,2,4,315.0
0,954,6532.195068310778,2,4,288.0
0,966,4514.258360968982,2,4,208.0
0,1052,3670.200831889652,2,4,166.0
0,1092,3454.1952732948625,2,4,153.0
0,1106,2530.0027226119396,2,4,122.0
0,1158,1887.8839858949752,2,4,91.0
0,1202,1666.4484298214159,2,4,71.0
0,1208,478.14421793264415,2,4,18.0
