,id,caused_delay_time,replication,scenario,number_of_vehicles
0,1155,4540.775898465917,1,1,116.0
0,1176,8682.766145711654,1,2,229.0
0,1155,8453.643128721262,1,2,222.0
0,1197,8566.193331724502,2,2,230.0
0,1176,8395.562518472718,2,2,224.0
0,1191,10731.003344734077,1,3,397.0
0,1176,10729.834670584085,1,3,395.0
0,1071,10126.144936684526,1,3,372.0
0,1037,9939.516067200286,1,3,364.0
0,1402,17358.125700694138,2,3,650.0
0,1185,17238.523122215716,2,3,642.0
0,1155,16903.822742879758,2,3,630.0
0,1118,16200.812376826565,2,3,604.0
0,809,15191.916118573448,2,3,576.0
0,1049,14596.970849161784,2,3,554.0
0,1013,13507.964423899277,2,3,519.0
