id,caused_delay_time,replication,scenario,number_of_vehicles
660,1473.7407454708834,1,2,686.0
824,10218.434860292302,1,2,681.0
904,46325.16361231454,1,2,678.0
1092,10060.326062342849,1,2,670.0
1096,9996.171271755593,1,2,668.0
982,25506.34990411313,2,2,683.0
1020,25728.90131845388,2,2,679.0
938,42825.04630598335,4,2,628.0
2587,2810.631920221644,3,2,1309.0
660,1424.7443407050566,3,2,663.0
824,9843.420751496782,3,2,658.0
982,24572.10731569125,3,2,657.0
1000,24929.259078606592,3,2,655.0
1224,9766.077891090299,3,2,652.0
660,1373.7665248007102,6,2,637.0
946,9475.625089841904,6,2,630.0
964,9402.826031790211,6,2,628.0
982,23925.294602990783,6,2,627.0
904,46464.11202753616,7,2,677.0
962,25387.852042046296,7,2,669.0
796,9735.94832980067,8,2,647.0
844,9705.33960504091,8,2,646.0
904,42179.47543378597,9,2,628.0
946,9221.624011865873,9,2,621.0
1184,23420.768908938528,9,2,616.0
790,25150.345067226404,10,2,658.0
796,9932.425094822236,10,2,655.0
