index,id,caused_delay_time,replication,scenario,number_of_vehicles
0,880,23535.257052410427,2,5,638.0
1,904,42760.80202690036,2,5,636.0
0,852,24244.447062576644,1,5,651.0
1,904,43597.98378790663,1,5,648.0
2,1098,23949.935534733686,1,5,638.0
0,904,47485.28286981329,9,5,710.0
1,946,10482.280653024914,9,5,704.0
2,1106,10359.281210260948,9,5,699.0
0,902,10604.515461092124,4,5,703.0
1,482,133547.0959806364,4,5,1993.0
2,990,25943.780970758806,4,5,700.0
3,1092,10356.94345031003,4,5,693.0
4,1098,25480.173853935397,4,5,692.0
0,1076,25192.744933148806,3,5,668.0
0,513,47993.62606627085,8,5,3176.0
1,2659,20806.56581925491,8,5,1400.0
2,844,9928.151971998781,8,5,657.0
3,1096,9857.157495279384,8,5,655.0
4,1106,9622.635519740064,8,5,651.0
0,790,25357.095605792016,7,5,670.0
1,482,135809.84051722902,7,5,2015.0
2,838,9954.457155383667,7,5,665.0
3,852,24551.978695749156,7,5,664.0
4,868,24526.08273968182,7,5,660.0
0,2189,81700.07812056252,6,5,5459.0
1,838,9589.339233620542,6,5,642.0
2,938,42690.59275927572,6,5,639.0
3,962,24242.522882962552,6,5,636.0
4,990,24023.818570954983,6,5,634.0
5,1014,9433.473668909031,6,5,631.0
0,2271,82577.28646602276,10,5,5495.0
1,904,43707.4044501378,10,5,650.0
2,1184,24547.415326808416,10,5,641.0
0,2587,3026.8112267526635,5,5,1409.0
1,844,10479.8446175368,5,5,697.0
2,938,47126.855885695106,5,5,694.0
3,1020,25816.99503833845,5,5,689.0
4,1114,25466.827449656103,5,5,685.0
