id,caused_delay_time,replication,scenario,number_of_vehicles
2201,11722.7877628957,6,8,5446.0
564,9846.786779097145,6,8,654.0
1568,11915.95990390116,6,8,5557.0
1,75849.96036972114,6,8,5065.0
2720,4652.181542317359,6,8,2162.0
21,271666.1563855021,6,8,7196.0
495,6943.617868507365,6,8,3219.0
2916,55922.164728631615,6,8,824.0
1306,32715.872074006198,6,8,2180.0
2700,5175.330602773785,6,8,2392.0
1479,49028.088562658886,6,8,1317.0
2121,7006.353620940267,6,8,3259.0
2209,81642.12219970216,6,8,5443.0
3073,2242.563732166523,6,8,1047.0
1570,11933.68567643907,6,8,5555.0
2726,32326.78721253471,6,8,2160.0
246,4444.950347690841,6,8,2050.0
2587,2938.940732789305,6,8,1359.0
2131,6976.074442225896,6,8,3257.0
2390,23704.370831274806,6,8,1583.0
1915,221344.141167327,6,8,3274.0
501,121291.31208436075,6,8,3217.0
2712,5167.167080629536,6,8,2390.0
1574,373489.5771389747,6,8,5549.0
1677,16306.295480331219,6,8,235.0
142,464202.87836355914,6,8,6869.0
568,9806.654546880383,6,8,652.0
3302,3622.714668425661,6,8,1685.0
2239,81712.809143505,6,8,5428.0
3308,62924.30923042996,6,8,1685.0
2450,23665.829874498682,6,8,1577.0
1316,4674.964048003347,6,8,2173.0
27,15444.156716242156,6,8,7151.0
2740,81311.9807061472,6,8,2156.0
2839,864.7346746172881,6,8,407.0
3135,2253.6735632579416,6,8,1040.0
2627,2908.1523818298087,6,8,1358.0
43,15403.423541285869,6,8,7147.0
2241,80855.6600017183,6,8,5418.0
2631,2933.387251364394,6,8,1358.0
2853,867.0327869669552,6,8,407.0
3143,2220.98029767381,6,8,1040.0
570,24437.84537885769,6,8,650.0
2639,2924.101882598933,6,8,1358.0
517,6871.408187026721,6,8,3198.0
3159,69632.30409741856,6,8,1039.0
2482,107036.07552797142,6,8,1574.0
304,30628.120408181992,6,8,2038.0
1336,4673.22833354696,6,8,2164.0
2649,20367.01728290833,6,8,1357.0
69,107236.72604861822,6,8,7131.0
2251,80418.83458874149,6,8,5409.0
523,215155.45875727438,6,8,3196.0
2752,4602.2011236489725,6,8,2142.0
1507,2821.030382172084,6,8,1309.0
1366,4648.411792429045,6,8,2161.0
2899,27506.794602199767,6,8,405.0
1509,87459.90178139567,6,8,1308.0
2253,80909.65392353578,6,8,5397.0
1580,11844.493155389428,6,8,5493.0
1394,4659.345830068592,6,8,2155.0
328,30530.429989537875,6,8,2030.0
1679,499.77464412204125,6,8,231.0
598,9755.728821295614,6,8,650.0
2271,81040.35255739882,6,8,5388.0
1941,6955.254382624867,6,8,3234.0
2796,79471.28681769315,6,8,2131.0
340,4357.22981474368,6,8,2025.0
2930,1736.2168874966858,6,8,812.0
1945,120131.53805416847,6,8,3232.0
342,30361.46834983508,6,8,2024.0
1713,488.1797434545606,6,8,229.0
176,101820.20713672187,6,8,6785.0
2289,362121.9804206542,6,8,5374.0
2940,54831.35385145729,6,8,810.0
1733,500.6016262277605,6,8,229.0
618,1380.7610817544803,6,8,648.0
3177,2193.519439442444,6,8,1029.0
364,4338.324425573976,6,8,2014.0
182,101468.42564143077,6,8,6771.0
3191,68907.30238010485,6,8,1028.0
374,30018.602853321983,6,8,2013.0
1755,491.08871147507114,6,8,229.0
1757,15671.711180253888,6,8,229.0
660,1405.837941751008,6,8,648.0
553,118505.82775054635,6,8,3160.0
662,1409.784754242209,6,8,648.0
2804,31770.15721594307,6,8,2118.0
2484,23297.613612867517,6,8,1559.0
2001,48108.083887685185,6,8,3213.0
1511,2794.270455754548,6,8,1297.0
690,43607.8317823665,6,8,647.0
406,134982.55151902293,6,8,2005.0
1513,2798.6553197831836,6,8,1294.0
222,456058.88179738546,6,8,6735.0
2502,3340.5425574345068,6,8,1557.0
2009,217790.68003288828,6,8,3200.0
1527,2807.7820692906976,6,8,1293.0
2520,105088.83402263498,6,8,1555.0
3195,2164.1654080949083,6,8,1018.0
2313,11471.863589263838,6,8,5320.0
1769,15421.606585559663,6,8,228.0
2958,1732.2423699348926,6,8,800.0
3247,2195.6270962563744,6,8,1016.0
2968,1738.9412674037555,6,8,800.0
2970,1716.9850757379813,6,8,800.0
2986,1709.3266563633017,6,8,799.0
2988,1725.5845158981128,6,8,799.0
