index,id,drive_time,replication,scenario
11176,Truck11520,245,1,4
11177,Truck11521,244,1,4
11178,Truck11523,249,1,4
11179,Truck11522,258,1,4
11180,Truck11524,249,1,4
11181,Truck11527,235,1,4
11182,Truck11525,251,1,4
11183,Truck11529,242,1,4
11184,Truck11526,260,1,4
11185,Truck11528,253,1,4
11186,Truck11531,253,1,4
11187,Truck11530,263,1,4
11188,Truck11532,253,1,4
11189,Truck11534,245,1,4
11190,Truck11536,239,1,4
11191,Truck11533,259,1,4
11192,Truck11539,236,1,4
11193,Truck11537,255,1,4
11194,Truck11535,266,1,4
11195,Truck11542,233,1,4
11196,Truck11538,256,1,4
11197,Truck11544,234,1,4
11198,Truck11545,232,1,4
11199,Truck11543,244,1,4
11200,Truck11540,267,1,4
11201,Truck11541,271,1,4
11202,Truck11546,246,1,4
11203,Truck11549,233,1,4
11204,Truck11548,242,1,4
11205,Truck11547,265,1,4
11206,Truck11551,246,1,4
11207,Truck11552,242,1,4
11208,Truck11550,270,1,4
11209,Truck11553,255,1,4
11210,Truck11555,247,1,4
11211,Truck11554,267,1,4
11212,Truck11556,263,1,4
11213,Truck11557,265,1,4
11214,Truck11558,271,1,4
11215,Truck11560,263,1,4
11216,Truck11565,238,1,4
11217,Truck11566,235,1,4
11218,Truck11559,272,1,4
11219,Truck11562,257,1,4
11220,Truck11564,247,1,4
11221,Truck11561,265,1,4
11222,Truck11568,231,1,4
11223,Truck11563,274,1,4
11224,Truck11569,244,1,4
11225,Truck11570,241,1,4
11226,Truck11571,239,1,4
11227,Truck11572,234,1,4
11228,Truck11567,261,1,4
11229,Truck11577,241,1,4
11230,Truck11573,264,1,4
11231,Truck11575,263,1,4
11232,Truck11576,261,1,4
11233,Truck11582,231,1,4
11234,Truck11574,274,1,4
11235,Truck11580,245,1,4
11236,Truck11579,258,1,4
11237,Truck11578,266,1,4
11238,Truck11584,251,1,4
11239,Truck11588,235,1,4
11240,Truck11581,271,1,4
11241,Truck11591,232,1,4
11242,Truck11583,273,1,4
11243,Truck11589,245,1,4
11244,Truck11590,242,1,4
11245,Truck11586,264,1,4
11246,Truck11585,270,1,4
11247,Truck11587,263,1,4
11248,Truck11593,237,1,4
11249,Truck11594,246,1,4
11250,Truck11597,242,1,4
11251,Truck11595,253,1,4
11252,Truck11592,272,1,4
11253,Truck11600,239,1,4
11254,Truck11599,248,1,4
11255,Truck11596,265,1,4
11256,Truck11598,258,1,4
11257,Truck11602,244,1,4
11258,Truck11603,241,1,4
11259,Truck11604,238,1,4
11260,Truck11601,256,1,4
11261,Truck11609,236,1,4
11262,Truck11605,261,1,4
11263,Truck11607,252,1,4
11264,Truck11608,255,1,4
11265,Truck11611,240,1,4
11266,Truck11606,266,1,4
11267,Truck11610,246,1,4
11268,Truck11613,233,1,4
11269,Truck11615,232,1,4
11270,Truck11612,252,1,4
11271,Truck11614,244,1,4
11272,Truck11617,234,1,4
11273,Truck11620,235,1,4
11274,Truck11618,247,1,4
11275,Truck11619,249,1,4
11276,Truck11616,266,1,4
11277,Truck11621,241,1,4
11278,Truck11623,231,1,4
11279,Truck11622,244,1,4
11280,Truck11624,258,1,4
11281,Truck11626,252,1,4
11282,Truck11628,247,1,4
11283,Truck11632,231,1,4
11284,Truck11625,272,1,4
11285,Truck11627,262,1,4
11286,Truck11630,256,1,4
11287,Truck11629,267,1,4
11288,Truck11633,249,1,4
11289,Truck11634,245,1,4
11290,Truck11631,263,1,4
11291,Truck11637,234,1,4
11292,Truck11636,240,1,4
11293,Truck11635,259,1,4
11294,Truck11641,232,1,4
11295,Truck11638,249,1,4
11296,Truck11639,248,1,4
11297,Truck11640,251,1,4
11298,Truck11644,231,1,4
11299,Truck11642,251,1,4
11300,Truck11650,236,1,4
11301,Truck11643,272,1,4
11302,Truck11645,265,1,4
11303,Truck11649,248,1,4
11304,Truck11646,266,1,4
11305,Truck11648,256,1,4
11306,Truck11647,262,1,4
11307,Truck11651,254,1,4
11308,Truck11655,239,1,4
11309,Truck11656,234,1,4
11310,Truck11657,243,1,4
11311,Truck11654,260,1,4
11312,Truck11652,271,1,4
11313,Truck11658,241,1,4
11314,Truck11661,231,1,4
11315,Truck11653,275,1,4
11316,Truck11660,245,1,4
11317,Truck11663,234,1,4
11318,Truck11659,263,1,4
11319,Truck11666,244,1,4
11320,Truck11664,263,1,4
11321,Truck11662,274,1,4
11322,Truck11667,263,1,4
11323,Truck11665,275,1,4
11324,Truck11670,250,1,4
11325,Truck11673,239,1,4
11326,Truck11671,254,1,4
11327,Truck11674,239,1,4
11328,Truck11668,274,1,4
11329,Truck11669,270,1,4
11330,Truck11677,239,1,4
11331,Truck11672,267,1,4
11332,Truck11676,252,1,4
11333,Truck11679,247,1,4
11334,Truck11675,273,1,4
11335,Truck11685,236,1,4
11336,Truck11678,274,1,4
11337,Truck11681,260,1,4
11338,Truck11684,250,1,4
11339,Truck11680,271,1,4
11340,Truck11686,245,1,4
11341,Truck11683,268,1,4
11342,Truck11682,274,1,4
11343,Truck11688,251,1,4
11344,Truck11687,258,1,4
11345,Truck11693,234,1,4
11346,Truck11690,250,1,4
11347,Truck11689,260,1,4
11348,Truck11694,239,1,4
11349,Truck11692,252,1,4
11350,Truck11697,231,1,4
11351,Truck11691,273,1,4
11352,Truck11700,235,1,4
11353,Truck11695,267,1,4
11354,Truck11698,262,1,4
11355,Truck11699,257,1,4
11356,Truck11701,247,1,4
11357,Truck11696,274,1,4
11358,Truck11703,247,1,4
11359,Truck11702,253,1,4
11360,Truck11705,262,1,4
11361,Truck11707,252,1,4
11362,Truck11706,258,1,4
11363,Truck11704,272,1,4
11364,Truck11712,232,1,4
11365,Truck11708,255,1,4
11366,Truck11709,254,1,4
11367,Truck11710,255,1,4
11368,Truck11714,236,1,4
11369,Truck11711,265,1,4
11370,Truck11713,256,1,4
11371,Truck11715,251,1,4
11372,Truck11716,257,1,4
11373,Truck11720,243,1,4
11374,Truck11717,260,1,4
11375,Truck11719,259,1,4
11376,Truck11718,265,1,4
11377,Truck11723,243,1,4
11378,Truck11721,268,1,4
11379,Truck11724,254,1,4
11380,Truck11722,265,1,4
11381,Truck11729,232,1,4
11382,Truck11727,257,1,4
11383,Truck11725,270,1,4
11384,Truck11730,247,1,4
11385,Truck11733,235,1,4
11386,Truck11728,261,1,4
11387,Truck11726,272,1,4
11388,Truck11731,247,1,4
11389,Truck11734,239,1,4
11390,Truck11732,251,1,4
11391,Truck11737,248,1,4
11392,Truck11739,238,1,4
11393,Truck11736,257,1,4
11394,Truck11742,233,1,4
11395,Truck11740,246,1,4
11396,Truck11735,274,1,4
11397,Truck11738,264,1,4
11398,Truck11741,253,1,4
11399,Truck11747,234,1,4
11400,Truck11745,247,1,4
11401,Truck11746,242,1,4
11402,Truck11749,238,1,4
11403,Truck11744,266,1,4
11404,Truck11743,272,1,4
11405,Truck11752,231,1,4
11406,Truck11751,244,1,4
11407,Truck11750,250,1,4
11408,Truck11748,266,1,4
11409,Truck11754,250,1,4
11410,Truck11753,265,1,4
11411,Truck11758,243,1,4
11412,Truck11755,263,1,4
11413,Truck11762,232,1,4
11414,Truck11757,258,1,4
11415,Truck11759,248,1,4
11416,Truck11756,275,1,4
11417,Truck11760,256,1,4
11418,Truck11764,237,1,4
11419,Truck11761,254,1,4
11420,Truck11763,246,1,4
11421,Truck11765,247,1,4
11422,Truck11767,240,1,4
11423,Truck11770,232,1,4
11424,Truck11766,265,1,4
11425,Truck11768,269,1,4
11426,Truck11769,266,1,4
11427,Truck11773,251,1,4
11428,Truck11771,263,1,4
11429,Truck11774,253,1,4
11430,Truck11772,270,1,4
11431,Truck11779,235,1,4
11432,Truck11776,257,1,4
